,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
0,Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,Horror Mystery Thriller,the grudge,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce Horror Mystery Thriller
1,William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Action Horror Science Fiction Thriller,underwater,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Action Horror Science Fiction Thriller
2,Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Comedy,like a boss,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta Comedy
3,Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Drama,three christs,Richard Gere Peter Dinklage Walton Goggins Jon Avnet Drama
4,Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Crime Thriller Drama,inherit the viper,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen Crime Thriller Drama
5,Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Horror Thriller Mystery,the sonata,Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond Horror Thriller Mystery
6,Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Thriller Drama Crime,the murder of nicole brown simpson,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands Thriller Drama Crime
7,Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller Action Crime,bad boys for life,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller Action Crime
8,Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Family Fantasy Adventure,dolittle,Robert Downey Jr. Antonio Banderas Michael Sheen Stephen Gaghan Family Fantasy Adventure
9,Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Drama Fantasy Thriller,a fall from grace,Crystal R. Fox Phylicia Rashad Bresha Webb Tyler Perry Drama Fantasy Thriller
10,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Action Crime Comedy,the gentlemen,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Action Crime Comedy
11,Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Horror Thriller,the turning,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi Horror Thriller
12,Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,War Drama,the last full measure,Sebastian Stan Christopher Plummer William Hurt Todd Robinson War Drama
13,David Bruckner,Rebecca Hall,Sarah Goldberg,Stacy Martin,Horror Thriller,the night house,Rebecca Hall Sarah Goldberg Stacy Martin David Bruckner Horror Thriller
14,Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Drama Thriller,john henry,Terry Crews Ludacris Jamila Velazquez Will Forbes Drama Thriller
15,Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action Thriller,the rhythm section,Blake Lively Jude Law Sterling K. Brown Reed Morano Action Thriller
16,Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,Horror Fantasy Thriller,gretel & hansel,Sophia Lillis Sammy Leakey Charles Babalola Oz Perkins Horror Fantasy Thriller
18,Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action Crime,birds of prey,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan Action Crime
